user_key,cluster_id,dominant_share_known,imputed_country_key,imputed_country_iso,imputed_country_name,imputed_market_currency_code,imputation_method
11417,1,0.1545,197,RU,Rusia,USD,cluster_majority
11425,1,0.1545,197,RU,Rusia,USD,cluster_majority
11432,1,0.1545,197,RU,Rusia,USD,cluster_majority
11434,1,0.1545,197,RU,Rusia,USD,cluster_majority
11440,1,0.1545,197,RU,Rusia,USD,cluster_majority
11447,1,0.1545,197,RU,Rusia,USD,cluster_majority
11450,1,0.1545,197,RU,Rusia,USD,cluster_majority
11452,1,0.1545,197,RU,Rusia,USD,cluster_majority
11453,2,0.9134,69,US,Estados Unidos,USD,cluster_majority
11456,1,0.1545,197,RU,Rusia,USD,cluster_majority
11461,1,0.1545,197,RU,Rusia,USD,cluster_majority
11463,1,0.1545,197,RU,Rusia,USD,cluster_majority
11465,1,0.1545,197,RU,Rusia,USD,cluster_majority
11470,0,0.0204,29,BR,Brasil,USD,cluster_majority
11471,1,0.1545,197,RU,Rusia,USD,cluster_majority
11472,1,0.1545,197,RU,Rusia,USD,cluster_majority
11474,1,0.1545,197,RU,Rusia,USD,cluster_majority
11475,1,0.1545,197,RU,Rusia,USD,cluster_majority
11488,1,0.1545,197,RU,Rusia,USD,cluster_majority
11491,1,0.1545,197,RU,Rusia,USD,cluster_majority
11493,1,0.1545,197,RU,Rusia,USD,cluster_majority
11504,1,0.1545,197,RU,Rusia,USD,cluster_majority
11511,1,0.1545,197,RU,Rusia,USD,cluster_majority
11512,1,0.1545,197,RU,Rusia,USD,cluster_majority
11516,1,0.1545,197,RU,Rusia,USD,cluster_majority
11518,1,0.1545,197,RU,Rusia,USD,cluster_majority
11520,1,0.1545,197,RU,Rusia,USD,cluster_majority
11532,1,0.1545,197,RU,Rusia,USD,cluster_majority
11533,1,0.1545,197,RU,Rusia,USD,cluster_majority
11547,1,0.1545,197,RU,Rusia,USD,cluster_majority
11556,1,0.1545,197,RU,Rusia,USD,cluster_majority
11558,1,0.1545,197,RU,Rusia,USD,cluster_majority
11565,1,0.1545,197,RU,Rusia,USD,cluster_majority
11573,1,0.1545,197,RU,Rusia,USD,cluster_majority
11576,1,0.1545,197,RU,Rusia,USD,cluster_majority
11582,1,0.1545,197,RU,Rusia,USD,cluster_majority
11584,0,0.0204,29,BR,Brasil,USD,cluster_majority
11585,1,0.1545,197,RU,Rusia,USD,cluster_majority
11588,1,0.1545,197,RU,Rusia,USD,cluster_majority
11597,1,0.1545,197,RU,Rusia,USD,cluster_majority
11602,1,0.1545,197,RU,Rusia,USD,cluster_majority
11603,1,0.1545,197,RU,Rusia,USD,cluster_majority
11608,1,0.1545,197,RU,Rusia,USD,cluster_majority
11614,1,0.1545,197,RU,Rusia,USD,cluster_majority
11616,1,0.1545,197,RU,Rusia,USD,cluster_majority
11617,1,0.1545,197,RU,Rusia,USD,cluster_majority
11619,1,0.1545,197,RU,Rusia,USD,cluster_majority
11628,1,0.1545,197,RU,Rusia,USD,cluster_majority
11629,1,0.1545,197,RU,Rusia,USD,cluster_majority
11630,1,0.1545,197,RU,Rusia,USD,cluster_majority
11632,1,0.1545,197,RU,Rusia,USD,cluster_majority
11633,1,0.1545,197,RU,Rusia,USD,cluster_majority
11635,1,0.1545,197,RU,Rusia,USD,cluster_majority
